"current_category";"current_subcategory";"current_subcategory2";"base_item_name";"sample_item_id";"sample_display_name";"corrected_category";"corrected_subcategory";"corrected_subcategory2";"category_sort_order";"subcategory_sort_order";"item_sort_order";"notes"
"Accessories";"";"";"Delivery: Regimental Rings";"QUESTITEM_LIGHT_RINGS";"[T0] Delivery: Regimental Rings";"";"";"";"";"";"";""
"Bags";"";"";"Bag";"T2_BAG";"[T2] Novice's Bag";"";"";"";"";"";"";""
"Bags";"";"";"Satchel of Insight";"T4_BAG_INSIGHT";"[T4] Adept's Satchel of Insight";"";"";"";"";"";"";""
"Capes";"";"";"Alchemist's Backpack";"UNIQUE_CAPE_VANITY_ALCHEMIST";"[T0] Alchemist's Backpack";"";"";"";"";"";"";""
"Capes";"";"";"Anniversary Barbarian's Cape";"UNIQUE_CAPE_VANITY_BARBARIAN_ANNIVERSARY";"[T0] Anniversary Barbarian's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Anniversary Paladin's Cape";"UNIQUE_CAPE_VANITY_PALADIN_ANNIVERSARY";"[T0] Anniversary Paladin's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Anniversary Priest's Cape";"UNIQUE_CAPE_VANITY_PRIEST_HOLY_ANNIVERSARY";"[T0] Anniversary Priest's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Arcanist's Cape";"UNIQUE_CAPE_VANITY_BATTLEMAGE";"[T0] Arcanist's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Arena Gladiator Cape";"UNIQUE_CAPE_VANITY_GLADIATOR_ARENA";"[T0] Arena Gladiator Cape";"";"";"";"";"";"";""
"Capes";"";"";"Arena Veteran's Cape";"UNIQUE_CAPE_VANITY_ARENA_SET_01";"[T0] Arena Veteran's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Arena Veteran's Large Banner";"T8_CAPE_ARENA_BANNER";"[T8] Arena Veteran's Large Banner";"";"";"";"";"";"";""
"Capes";"";"";"Arena Veteran's Medium Banner";"T6_CAPE_ARENA_BANNER";"[T6] Arena Veteran's Medium Banner";"";"";"";"";"";"";""
"Capes";"";"";"Arena Veteran's Small Banner";"T4_CAPE_ARENA_BANNER";"[T4] Arena Veteran's Small Banner";"";"";"";"";"";"";""
"Capes";"";"";"Assassin's Swords";"UNIQUE_CAPE_VANITY_ASSASSIN";"[T0] Assassin's Swords";"";"";"";"";"";"";""
"Capes";"";"";"Avalonian Cape";"T4_CAPEITEM_AVALON";"[T4] Adept's Avalonian Cape";"";"";"";"";"";"";""
"Capes";"";"";"Avalonian Crest";"T4_CAPEITEM_AVALON_BP";"[T4] Adept's Avalonian Crest";"";"";"";"";"";"";""
"Capes";"";"";"Barbarian's Cape";"UNIQUE_CAPE_VANITY_BARBARIAN";"[T0] Barbarian's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Brecilien Cape";"T4_CAPEITEM_FW_BRECILIEN";"[T4] Adept's Brecilien Cape";"";"";"";"";"";"";""
"Capes";"";"";"Brecilien Crest";"T4_CAPEITEM_FW_BRECILIEN_BP";"[T4] Adept's Brecilien Crest";"";"";"";"";"";"";""
"Capes";"";"";"Bridgewatch Cape";"T4_CAPEITEM_FW_BRIDGEWATCH";"[T4] Adept's Bridgewatch Cape";"";"";"";"";"";"";""
"Capes";"";"";"Bridgewatch Crest";"T4_CAPEITEM_FW_BRIDGEWATCH_BP";"[T4] Adept's Bridgewatch Crest";"";"";"";"";"";"";""
"Capes";"";"";"Caerleon Cape";"T4_CAPEITEM_FW_CAERLEON";"[T4] Adept's Caerleon Cape";"";"";"";"";"";"";""
"Capes";"";"";"Caerleon Crest";"T4_CAPEITEM_FW_CAERLEON_BP";"[T4] Adept's Caerleon Crest";"";"";"";"";"";"";""
"Capes";"";"";"Cape";"T2_CAPE";"[T2] Novice's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Champion's Sword and Cape";"UNIQUE_CAPE_VANITY_WARRIOR_KNIGHT";"[T0] Champion's Sword and Cape";"";"";"";"";"";"";""
"Capes";"";"";"Commander's Cape";"UNIQUE_CAPE_VANITY_FW_COMMANDER";"[T0] Commander's Cape";"";"";"";"";"";"";""
"Capes";"";"";"Commander's Heraldic Cape";"UNIQUE_CAPE_VANITY_FW_COMMANDER_GUILD_COLORED";"[T0] Commander's Heraldic Cape";"";"";"";"";"";"";""
